               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13263,            0.016435,            0.088356,                   0,                   0,                   0,                   0,             0.10649,            0.011815,            0.066005,              0.0982,              0.0002,              0.0002
                   1,             0.13107,            0.017414,            0.086668,                   0,                   0,                   0,                   0,             0.10506,            0.011727,            0.064925,            0.095499,          0.00049901,          0.00049901
                   2,             0.12807,            0.017613,            0.082552,            0.021505,                 0.2,            0.021224,           0.0067914,             0.10166,            0.011649,            0.063144,            0.092797,          0.00079683,          0.00079683
                   3,              0.1237,            0.015954,            0.081005,            0.014241,               0.225,            0.041017,           0.0064683,            0.093253,            0.012046,             0.06037,            0.090093,           0.0010935,           0.0010935
                   4,             0.11518,            0.018052,            0.075919,            0.014793,               0.375,            0.016283,           0.0027357,            0.084501,             0.01317,            0.057644,            0.087389,           0.0013889,           0.0013889
                   5,             0.10816,            0.021741,            0.070827,           0.0065519,             0.17262,           0.0040211,           0.0010414,             0.07995,            0.013762,             0.05494,            0.084683,           0.0016832,           0.0016832
                   6,             0.10207,            0.022059,            0.068102,            0.015102,             0.56071,            0.013916,             0.00282,            0.078299,            0.013623,            0.050817,            0.081976,           0.0019762,           0.0019762
                   7,            0.095333,            0.023197,             0.06246,           0.0098961,             0.41429,            0.011575,           0.0013995,            0.074967,            0.013962,            0.048363,            0.079268,           0.0022681,           0.0022681
                   8,            0.090703,            0.020979,            0.058497,            0.013158,             0.64286,             0.01935,           0.0068774,             0.06917,            0.014826,            0.042667,            0.076559,           0.0025588,           0.0025588
                   9,            0.084078,            0.022638,            0.055185,             0.19161,                0.45,             0.34015,             0.13494,            0.061069,            0.015703,            0.039034,            0.073848,           0.0028483,           0.0028483
                  10,            0.080802,             0.02369,            0.051631,              0.6754,             0.28386,             0.47207,             0.12221,            0.061238,            0.015212,            0.034134,            0.071137,           0.0031366,           0.0031366
                  11,            0.076464,            0.023676,            0.045566,             0.23722,               0.475,             0.31113,             0.16679,            0.055679,            0.015291,            0.031409,            0.068424,           0.0034238,           0.0034238
                  12,            0.074878,            0.023765,            0.043797,             0.69724,                0.15,             0.13523,            0.017269,            0.067613,            0.013493,            0.027892,             0.06571,           0.0037097,           0.0037097
                  13,            0.075589,            0.024175,            0.039059,             0.19277,             0.54643,              0.2136,            0.047944,             0.05633,            0.014313,            0.026954,            0.062994,           0.0039945,           0.0039945
                  14,            0.076438,            0.021517,            0.037623,             0.10193,             0.42262,             0.12222,            0.024456,            0.060944,            0.013569,            0.025828,            0.060278,            0.004278,            0.004278
                  15,            0.074105,            0.022699,            0.036058,             0.32667,             0.63108,             0.45076,             0.11564,            0.066232,            0.013046,            0.025596,             0.05756,           0.0045604,           0.0045604
                  16,            0.078524,            0.022063,            0.035773,             0.20202,             0.45833,             0.23822,            0.044867,            0.056513,            0.012939,            0.024863,            0.054842,           0.0048416,           0.0048416
                  17,            0.074631,            0.024387,             0.03422,             0.18264,             0.59405,             0.21802,            0.068744,            0.057517,             0.01223,            0.024184,            0.052122,           0.0051216,           0.0051216
                  18,            0.065365,            0.019627,            0.033055,              0.1174,             0.63571,             0.13456,            0.035421,            0.063768,            0.010993,            0.024722,              0.0494,           0.0054004,           0.0054004
                  19,            0.075065,            0.025318,            0.031461,             0.10727,             0.59405,             0.12568,            0.025374,            0.074467,           0.0097285,            0.024388,            0.046678,            0.005678,            0.005678
                  20,            0.077668,             0.01933,            0.031963,             0.23641,             0.90357,             0.40508,             0.11607,            0.060442,            0.010266,            0.023783,            0.043954,           0.0059545,           0.0059545
                  21,            0.070599,            0.016991,            0.029589,             0.53181,             0.64967,             0.58725,             0.13789,            0.063148,           0.0096141,            0.022208,             0.04123,           0.0062297,           0.0062297
                  22,            0.068592,            0.020208,            0.029289,             0.30262,                 0.3,             0.41492,             0.24494,            0.059241,            0.010208,            0.020692,            0.038504,           0.0065038,           0.0065038
                  23,            0.071873,            0.020897,            0.028672,             0.27936,             0.92619,             0.47505,             0.13764,            0.071006,           0.0090162,            0.019632,            0.035777,           0.0067767,           0.0067767
                  24,            0.075035,            0.018053,            0.029408,             0.39321,             0.95119,             0.65833,             0.28139,            0.047716,            0.010451,            0.018447,            0.033048,           0.0070484,           0.0070484
                  25,            0.063695,            0.018671,            0.027294,              0.8085,               0.475,             0.49726,             0.16507,            0.070354,           0.0088034,            0.017566,            0.030319,           0.0073188,           0.0073188
                  26,            0.074961,            0.015613,            0.026069,             0.93966,               0.475,             0.50971,             0.27593,            0.058686,           0.0095033,            0.016506,            0.027588,           0.0075882,           0.0075882
