               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10661,            0.018916,            0.078288,           0.0024673,               0.289,           0.0030528,           0.0011158,            0.072755,           0.0087239,            0.053155,              0.0928,              0.0008,              0.0008
                   1,            0.090679,            0.022618,            0.080957,           0.0037118,             0.43439,            0.014758,           0.0036856,            0.057044,            0.010232,            0.052687,            0.084683,           0.0016832,           0.0016832
                   2,            0.074712,            0.023962,            0.080954,           0.0072568,             0.85323,            0.031756,            0.012795,            0.042221,            0.011082,            0.052232,            0.076549,           0.0025485,           0.0025485
                   3,            0.071886,            0.023135,            0.077511,            0.007738,             0.99107,            0.074467,            0.032644,              0.0365,            0.010575,            0.050536,            0.068396,            0.003396,            0.003396
                   4,            0.060691,            0.024042,            0.070396,           0.0072542,             0.99107,             0.11764,            0.050924,            0.033657,           0.0093107,            0.047878,            0.060226,           0.0042258,           0.0042258
                   5,            0.060031,            0.023559,            0.067623,             0.23672,              0.1726,             0.13798,             0.06794,            0.033726,           0.0089475,            0.044288,            0.052038,           0.0050376,           0.0050376
                   6,            0.058884,            0.022433,            0.068425,             0.10588,             0.31034,             0.14494,            0.070491,            0.027627,           0.0098764,            0.043238,            0.043832,           0.0058317,           0.0058317
                   7,             0.05941,              0.0197,            0.064724,            0.089606,             0.32054,             0.11584,            0.052449,             0.03409,            0.009687,              0.0424,            0.035608,            0.006608,            0.006608
                   8,            0.059503,            0.018981,            0.064728,            0.095358,             0.32392,             0.12703,            0.055644,            0.032669,           0.0083493,            0.041512,            0.027366,           0.0073664,           0.0073664
                   9,             0.05748,            0.019103,            0.059796,             0.20435,             0.34899,             0.11105,            0.054152,             0.04036,           0.0076812,             0.04094,            0.019107,            0.008107,            0.008107
                  10,            0.058006,            0.016695,            0.055887,             0.24945,             0.46076,             0.14479,            0.071126,            0.032988,           0.0070985,            0.041335,             0.01083,           0.0088298,           0.0088298
                  11,            0.052231,            0.019093,            0.058423,            0.071449,             0.59168,             0.14326,            0.079458,            0.036434,           0.0065579,            0.040601,            0.008911,            0.008911,            0.008911
                  12,            0.055746,            0.017366,            0.058443,             0.19789,             0.61631,             0.15978,            0.089847,             0.03604,           0.0061887,            0.039605,            0.008911,            0.008911,            0.008911
                  13,            0.059323,            0.016572,            0.059271,             0.22306,              0.6294,             0.16723,             0.10076,             0.04154,           0.0059641,            0.038653,            0.008812,            0.008812,            0.008812
                  14,            0.059204,            0.017148,            0.058425,            0.084624,              0.6462,             0.18309,             0.09003,            0.037802,           0.0056297,             0.03843,            0.008713,            0.008713,            0.008713
                  15,            0.055358,            0.018149,            0.059041,             0.36755,             0.62887,             0.18218,            0.098264,            0.034367,            0.005593,            0.037947,            0.008614,            0.008614,            0.008614
                  16,            0.053275,            0.016547,            0.056913,             0.21518,             0.62887,             0.20587,             0.12878,              0.0339,           0.0054477,            0.037697,            0.008515,            0.008515,            0.008515
                  17,            0.051558,            0.015867,            0.059383,            0.083507,             0.66317,             0.19232,            0.097847,             0.02284,           0.0054334,            0.037695,            0.008416,            0.008416,            0.008416
                  18,            0.046028,              0.0161,            0.056468,            0.056594,             0.68547,             0.14598,            0.069761,            0.040482,           0.0053777,            0.037649,            0.008317,            0.008317,            0.008317
                  19,            0.049684,            0.015422,            0.055099,             0.06252,             0.51362,             0.11121,            0.064137,            0.036011,           0.0057163,            0.037413,            0.008218,            0.008218,            0.008218
                  20,            0.047091,             0.01417,            0.052831,            0.036135,             0.49409,             0.05845,            0.033097,             0.03008,           0.0065048,            0.037195,            0.008119,            0.008119,            0.008119
                  21,             0.04804,            0.015771,            0.059217,            0.028145,             0.56711,            0.046046,             0.02581,            0.021769,           0.0077458,            0.037134,             0.00802,             0.00802,             0.00802
                  22,             0.04387,            0.018328,            0.057353,             0.14253,             0.57821,             0.19511,             0.10487,            0.028472,           0.0048598,            0.037022,            0.007921,            0.007921,            0.007921
                  23,            0.043469,            0.014473,            0.051983,             0.16299,             0.73821,             0.25621,             0.16122,            0.019059,           0.0046793,             0.03678,            0.007822,            0.007822,            0.007822
                  24,            0.040992,            0.015585,            0.054841,             0.14989,             0.84488,             0.26762,             0.16366,            0.020192,             0.00447,            0.036571,            0.007723,            0.007723,            0.007723
                  25,             0.04098,            0.016269,            0.055747,              0.1486,             0.82355,             0.25642,             0.13888,            0.026594,           0.0044657,            0.036297,            0.007624,            0.007624,            0.007624
                  26,            0.038689,            0.016096,            0.054843,             0.15319,             0.66018,             0.22471,             0.13356,              0.0267,           0.0044466,             0.03602,            0.007525,            0.007525,            0.007525
                  27,            0.041186,            0.014206,            0.054718,             0.18658,             0.73814,             0.31695,              0.1888,            0.023869,            0.004363,             0.03582,            0.007426,            0.007426,            0.007426
                  28,            0.039725,            0.015018,            0.054032,             0.18287,             0.71329,             0.31408,             0.19567,            0.024387,           0.0041453,            0.035732,            0.007327,            0.007327,            0.007327
                  29,            0.035184,            0.015529,            0.051229,             0.17422,              0.7352,             0.33185,             0.20597,            0.024075,           0.0042166,            0.035543,            0.007228,            0.007228,            0.007228
                  30,            0.035487,            0.014994,            0.054718,             0.15737,              0.7788,             0.32498,             0.19205,            0.026175,           0.0041686,            0.035385,            0.007129,            0.007129,            0.007129
                  31,             0.03877,            0.014466,            0.053518,             0.15925,             0.77145,             0.28324,             0.19194,            0.019586,           0.0041872,            0.035589,             0.00703,             0.00703,             0.00703
                  32,            0.037427,            0.015057,            0.053842,             0.17214,             0.77081,             0.31931,             0.20709,            0.021909,           0.0040776,            0.035461,            0.006931,            0.006931,            0.006931
                  33,            0.034059,            0.014437,            0.051121,             0.17005,             0.80165,             0.30949,             0.21409,            0.018527,           0.0039886,            0.035103,            0.006832,            0.006832,            0.006832
                  34,            0.035664,            0.014147,            0.052693,              0.1753,             0.68985,             0.28268,             0.16107,            0.025221,            0.004061,            0.034816,            0.006733,            0.006733,            0.006733
                  35,            0.038721,            0.013296,            0.053768,             0.19887,             0.77827,             0.31206,             0.22263,            0.016316,           0.0037526,            0.034543,            0.006634,            0.006634,            0.006634
                  36,            0.031298,            0.013053,            0.048983,              0.3605,             0.71081,             0.32707,              0.2272,            0.016681,           0.0038485,            0.034497,            0.006535,            0.006535,            0.006535
